============================== POTENTIAL BUGS ==============================
BugReport(score=1.00, code=drake/common/test/symbolic_environment_test.cc:71, key=(to_string, None), ctx=(PrintStringTo, None)
BugReport(score=0.96, code=drake/solvers/mathematical_program.cc:856, key=(all, None), ctx=(GetBoolAssertionFailureMessage, None)
BugReport(score=0.96, code=drake/solvers/mathematical_program.cc:856, key=(all, None), ctx=(c_str, None)
BugReport(score=0.96, code=drake/common/test/symbolic_substitution_test.cc:45, key=(f, None), ctx=(f, None)
BugReport(score=0.96, code=drake/common/test/symbolic_substitution_test.cc:97, key=(f, None), ctx=(f, None)
BugReport(score=0.96, code=drake/common/test/functional_form_test.cc:851, key=(ref, None), ctx=(cast, None)
BugReport(score=0.96, code=drake/common/test/functional_form_test.cc:851, key=(ref, None), ctx=(ref, None)
BugReport(score=0.96, code=drake/solvers/test/nonlinear_program_test.cc:325, key=(EvaluateMultivariate, None), ctx=(EvaluateMultivariate, None)
BugReport(score=0.96, code=drake/common/symbolic_expression_cell.cc:85, key=(is_polynomial, ((1, 255),)), ctx=(end, None)
BugReport(score=0.96, code=drake/common/symbolic_expression_cell.cc:85, key=(is_polynomial, ((1, 255),)), ctx=(begin, None)
BugReport(score=0.96, code=drake/common/test/functional_form_test.cc:852, key=(dyn, None), ctx=(dyn, None)
BugReport(score=0.96, code=drake/common/test/functional_form_test.cc:852, key=(dyn, None), ctx=(cast, None)
BugReport(score=0.96, code=drake/multibody/test/rigid_body_test.cc:86, key=(block, None), ctx=(block, None)
BugReport(score=0.96, code=drake/multibody/parsers/urdf_parser.cc:67, key=(block, None), ctx=(block, None)
BugReport(score=0.96, code=drake/systems/rendering/test/pose_aggregator_test.cc:36, key=(block, None), ctx=(block, None)
BugReport(score=0.96, code=drake/multibody/parsers/sdf_parser.cc:78, key=(block, None), ctx=(block, None)
BugReport(score=0.96, code=drake/systems/framework/test/value_test.cc:233, key=(get_value, ((0, 0),)), ctx=(get_value, ((0, 0),))
BugReport(score=0.96, code=drake/systems/framework/test/value_test.cc:233, key=(get_value, ((0, 0),)), ctx=(Print, None)
BugReport(score=0.96, code=drake/systems/framework/test/value_test.cc:233, key=(get_value, ((0, 0),)), ctx=(PrintTo, None)
BugReport(score=0.96, code=drake/systems/framework/test/value_test.cc:233, key=(get_value, ((0, 0),)), ctx=(UniversalPrint, None)
BugReport(score=0.96, code=drake/systems/framework/test/value_test.cc:233, key=(get_value, ((0, 0),)), ctx=(str, None)
BugReport(score=0.96, code=drake/systems/controllers/zmp_planner.cc:98, key=(value, None), ctx=(value, None)
BugReport(score=0.96, code=drake/systems/framework/cache.cc:69, key=(value, None), ctx=(value, None)
BugReport(score=0.96, code=drake/systems/framework/test/system_test.cc:458, key=(value, None), ctx=(value, None)
BugReport(score=0.96, code=drake/systems/controllers/zmpUtil.cpp:36, key=(value, None), ctx=(value, None)
BugReport(score=0.96, code=drake/common/test/autodiff_overloads_test.cc:339, key=(value, None), ctx=(value, None)
BugReport(score=0.96, code=drake/common/test/autodiff_overloads_test.cc:330, key=(value, None), ctx=(value, None)
BugReport(score=0.96, code=drake/systems/framework/cache.cc:75, key=(value, None), ctx=(value, None)
BugReport(score=0.95, code=drake/common/symbolic_formula.cc:316, key=(get_lhs_expression, None), ctx=(get_rhs_expression, None)
BugReport(score=0.95, code=drake/common/symbolic_formula.cc:320, key=(get_rhs_expression, None), ctx=(get_lhs_expression, None)
BugReport(score=0.95, code=drake/multibody/parsers/xml_util.cc:215, key=(matrix, None), ctx=(matrix, None)
BugReport(score=0.95, code=drake/multibody/parsers/xml_util.cc:200, key=(matrix, None), ctx=(matrix, None)
BugReport(score=0.95, code=drake/common/test/symbolic_expression_test.cc:182, key=(Evaluate, None), ctx=(Evaluate, None)
BugReport(score=0.95, code=drake/common/test/symbolic_formula_test.cc:612, key=(Evaluate, None), ctx=(Evaluate, None)
BugReport(score=0.95, code=drake/common/test/monomial_test.cc:611, key=(Evaluate, None), ctx=(Evaluate, None)
BugReport(score=0.95, code=drake/common/symbolic_formula.cc:215, key=(Evaluate, None), ctx=(Evaluate, None)
BugReport(score=0.95, code=drake/common/test/symbolic_formula_test.cc:211, key=(Evaluate, None), ctx=(Evaluate, None)
BugReport(score=0.95, code=drake/common/test/symbolic_expression_test.cc:766, key=(Evaluate, None), ctx=(Evaluate, None)
BugReport(score=0.95, code=drake/common/symbolic_formula.cc:233, key=(Evaluate, None), ctx=(Evaluate, None)
BugReport(score=0.95, code=drake/common/symbolic_formula_cell.cc:446, key=(Evaluate, None), ctx=(Evaluate, None)
BugReport(score=0.95, code=drake/common/symbolic_expression_cell.cc:216, key=(Evaluate, None), ctx=(Evaluate, None)
BugReport(score=0.95, code=drake/common/symbolic_formula.cc:260, key=(Evaluate, None), ctx=(Evaluate, None)
BugReport(score=0.95, code=drake/common/test/symbolic_formula_test.cc:249, key=(Evaluate, None), ctx=(Evaluate, None)
BugReport(score=0.95, code=drake/common/symbolic_formula.cc:251, key=(Evaluate, None), ctx=(Evaluate, None)
BugReport(score=0.95, code=drake/common/symbolic_formula.cc:242, key=(Evaluate, None), ctx=(Evaluate, None)
BugReport(score=0.95, code=drake/common/symbolic_formula.cc:224, key=(Evaluate, None), ctx=(Evaluate, None)
BugReport(score=0.95, code=drake/util/test/testConvexHull.cpp:65, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/test/polynomial_test.cc:407, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/demultiplexer_test.cc:99, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/framework/test/leaf_context_test.cc:136, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/trajectories/test/piecewise_polynomial_generation_test.cc:190, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/random_source_test.cc:72, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/framework/test/diagram_test.cc:237, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/test/polynomial_test.cc:396, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/examples/bead_on_a_wire/test/bead_on_a_wire_test.cc:234, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/multiplexer_test.cc:38, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/util/test/testConvexHull.cpp:68, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/test/polynomial_test.cc:390, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/test/symbolic_expression_test.cc:528, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/framework/test/diagram_test.cc:305, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/solvers/test/convex_optimization_test.cc:749, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/framework/test/diagram_test.cc:235, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/framework/test/model_values_test.cc:38, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/sensors/test/gyroscope_test.cc:123, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/framework/test/diagram_context_test.cc:237, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/test/symbolic_expression_test.cc:526, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/test/symbolic_expression_test.cc:532, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/multiplexer_test.cc:37, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/trajectories/qp_spline/test/spline_generation_test.cc:44, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/trajectories/qp_spline/test/spline_generation_test.cc:34, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/multibody/multibody_tree/test/rotational_inertia_tests.cc:138, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/util/test/testConvexHull.cpp:36, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/trajectories/qp_spline/test/spline_generation_test.cc:60, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/examples/bead_on_a_wire/test/bead_on_a_wire_test.cc:91, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/test/symbolic_expression_test.cc:534, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/test/symbolic_expression_differentiation_test.cc:326, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/random_source_test.cc:40, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/plants/spring_mass_system/test/spring_mass_system_test.cc:150, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/framework/test/diagram_test.cc:172, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/framework/test/model_values_test.cc:34, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/rendering/test/pose_aggregator_test.cc:100, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/solvers/test/nonlinear_program_test.cc:257, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/multiplexer_test.cc:36, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/trajectories/qp_spline/test/spline_generation_test.cc:36, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/examples/bead_on_a_wire/test/bead_on_a_wire_test.cc:84, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/trajectory_source_test.cc:48, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/examples/bead_on_a_wire/test/bead_on_a_wire_test.cc:98, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/pass_through_scalartype_test.cc:51, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/test/symbolic_expression_differentiation_test.cc:283, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/examples/bead_on_a_wire/test/bead_on_a_wire_test.cc:115, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/examples/bead_on_a_wire/test/bead_on_a_wire_test.cc:158, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/util/test/testConvexHull.cpp:28, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/framework/test/diagram_test.cc:236, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/trajectory_source_test.cc:49, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/trajectories/qp_spline/test/spline_generation_test.cc:58, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/util/test/testConvexHull.cpp:39, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/demultiplexer_test.cc:84, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/saturation_test.cc:71, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/demultiplexer_test.cc:41, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/framework/test/parameters_test.cc:45, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/trajectories/qp_spline/test/spline_generation_test.cc:43, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/test/polynomial_test.cc:404, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/multibody/multibody_tree/test/rotational_inertia_tests.cc:137, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/trajectories/qp_spline/test/spline_generation_test.cc:62, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/multiplexer_test.cc:39, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/adder_test.cc:38, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/plants/spring_mass_system/test/spring_mass_system_test.cc:151, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/examples/bead_on_a_wire/test/bead_on_a_wire_test.cc:83, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/test/symbolic_expression_test.cc:522, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/plants/spring_mass_system/test/spring_mass_system_test.cc:479, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/multibody/rigid_body_plant/test/contact_info_test.cc:31, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/multiplexer_test.cc:66, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/trajectories/qp_spline/test/spline_generation_test.cc:50, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/framework/test/leaf_system_test.cc:321, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/examples/bead_on_a_wire/test/bead_on_a_wire_test.cc:137, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/framework/test/leaf_system_test.cc:198, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/util/test/testConvexHull.cpp:42, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/examples/bead_on_a_wire/test/bead_on_a_wire_test.cc:82, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/test/polynomial_test.cc:377, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/test/symbolic_expression_test.cc:530, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/examples/bead_on_a_wire/test/bead_on_a_wire_test.cc:100, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/framework/test/parameters_test.cc:46, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/plants/spring_mass_system/test/spring_mass_system_test.cc:486, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/trajectory_source_test.cc:57, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/multibody/multibody_tree/test/unit_inertia_tests.cc:104, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/plants/spring_mass_system/test/spring_mass_system_test.cc:487, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/multiplexer_test.cc:34, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/trajectories/test/exponential_plus_piecewise_polynomial_test.cc:52, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/trajectories/test/exponential_plus_piecewise_polynomial_test.cc:51, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/multibody/rigid_body_plant/test/contact_info_test.cc:26, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/test/symbolic_expression_test.cc:524, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/util/test/testConvexHull.cpp:25, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/multiplexer_test.cc:33, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/framework/test/diagram_test.cc:180, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/test/polynomial_test.cc:393, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/trajectories/qp_spline/test/spline_generation_test.cc:46, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/test/symbolic_expression_test.cc:536, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/multiplexer_test.cc:40, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/trajectories/qp_spline/test/spline_generation_test.cc:51, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/framework/test/diagram_test.cc:854, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/util/test/testConvexHull.cpp:31, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/framework/test/leaf_system_test.cc:227, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/multibody/multibody_tree/test/unit_inertia_tests.cc:103, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/framework/test/leaf_system_test.cc:322, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/multibody/multibody_tree/test/unit_inertia_tests.cc:105, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/trajectories/qp_spline/test/spline_generation_test.cc:47, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/framework/test/leaf_system_test.cc:238, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/examples/bead_on_a_wire/test/bead_on_a_wire_test.cc:92, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/util/test/testConvexHull.cpp:71, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/framework/test/diagram_test.cc:234, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/multiplexer_test.cc:35, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/examples/bead_on_a_wire/test/bead_on_a_wire_test.cc:99, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/demultiplexer_test.cc:85, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/multibody/multibody_tree/test/rotational_inertia_tests.cc:139, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/systems/primitives/test/multiplexer_test.cc:41, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/solvers/test/nonlinear_program_test.cc:281, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/test/symbolic_expression_test.cc:520, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/trajectories/test/piecewise_polynomial_generation_test.cc:213, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/common/test/polynomial_test.cc:399, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/multibody/rigid_body_plant/test/contact_info_test.cc:25, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/examples/bead_on_a_wire/test/bead_on_a_wire_test.cc:93, key=(failure_message, None), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/multibody/parsers/xml_util.cc:226, key=(at, None), ctx=(at, None)
BugReport(score=0.95, code=drake/lcm/drake_mock_lcm.cc:52, key=(at, None), ctx=(at, None)
BugReport(score=0.95, code=drake/common/test/symbolic_expression_test.cc:1652, key=(size, ((0, 2), (4, 18446744073709551615))), ctx=(AssertionSuccess, None)
BugReport(score=0.95, code=drake/multibody/ik_trajectory_helper.cc:127, key=(cols, ((-9223372036854775808, 0),)), ctx=(cols, ((-9223372036854775808, 0),))
BugReport(score=0.95, code=drake/multibody/shapes/test/mesh_scaling_test.cc:39, key=(cols, ((-9223372036854775808, 0),)), ctx=(cols, ((-9223372036854775808, 0),))
